number,label,train,habitat_1_mean,habitat_1_std,habitat_1_area,habitat_1_contrast,habitat_1_dissimilarity,habitat_1_homogeneity,habitat_1_ASM,habitat_1_correlation,habitat_2_mean,habitat_2_std,habitat_2_area,habitat_2_contrast,habitat_2_dissimilarity,habitat_2_homogeneity,habitat_2_ASM,habitat_2_correlation,habitat_3_mean,habitat_3_std,habitat_3_area,habitat_3_contrast,habitat_3_dissimilarity,habitat_3_homogeneity,habitat_3_ASM,habitat_3_correlation
13,1,1,0.1058978289365770,0.0256812255829572,11412,26.585067319461400,3.765281877744980,0.2334572128469840,0.0035742330520424,0.6504641779180770,0.1807884275913240,0.0219401773065328,14885,33.44279792746110,4.438652849740930,0.1950849342522270,0.003301931595479,0.410903744115735,0.2614509463310240,0.0362837724387645,7227,49.067378627134100,4.575282793508050,0.2024394296275790,0.0030342985076747,0.7218739714561400
14,1,1,0.0647934675216674,0.0276918411254882,16545,43.95073368844260,4.642666176860750,0.2369486983844440,0.0030175671464234,0.5066195140675000,0.1808923333883290,0.0370095446705818,8154,55.7123304411585,5.571061957717220,0.159040671644825,0.0016500753141854,0.6393322170338640,0.3325627446174620,0.0770951882004737,2570,69.3558998808105,6.494398092967820,0.132434331294164,0.0013469125086479,0.914927984964516
15,1,1,0.0388565324246883,0.0374474264681339,8746,77.70629107981220,6.162629107981220,0.2195895956401400,0.0086390883643016,0.5264958100164520,0.1925881057977680,0.0466178804636001,6693,129.04363199208000,8.768121066402660,0.1031489579002760,0.0008326387176148,0.4894047599778470,0.3750057518482210,0.0794440582394599,2629,167.66621560667600,9.830401443391970,0.0904756116554204,0.0007503424658231,0.7984971391978170
16,1,1,0.0570665188133716,0.0394495092332363,12644,95.54874707651190,6.889341797527560,0.1763918669702200,0.0030844327821828,0.4744371961298490,0.1879758536815640,0.0378458574414253,12697,87.75877072635330,7.309082356630470,0.117188693284493,0.0011535558870697,0.4676233580950880,0.3308950960636140,0.0608050189912319,5343,82.70439535413350,7.023229332726030,0.1218421839894340,0.0010229045031707,0.8344779093867510
17,1,1,0.0511531233787536,0.0205822009593248,8968,12.946591302341700,2.546083746683590,0.3255713552635470,0.0065455393534673,0.7499193172649540,0.111201986670494,0.0198030732572078,12056,21.22097429890440,3.384965203610560,0.2613529469034270,0.0050054606203248,0.5427396015378170,0.1965689659118650,0.0437845289707183,2878,30.52965681412420,3.892878397143420,0.2277549665869450,0.0037960888931354,0.8787268161927250
18,1,1,0.2667441666126250,0.0592596977949142,22277,193.9838005215120,9.261114732724900,0.1390976496344840,0.0006958452818257,0.5532050295570810,0.4438823461532590,0.0499066673219203,34069,120.72342239581500,7.723433917481820,0.1390173883853970,0.0009339367838317,0.5877406202363740,0.6103373169898990,0.0556306578218936,31293,165.94611944349400,8.727045301676840,0.1308100166181660,0.00080697695824,0.5819988286484510
19,1,1,0.0958667173981666,0.0265542231500148,9487,26.82454651532830,3.7325766415614700,0.2349443497451600,0.0040528724243256,0.6841088846673860,0.1669919043779370,0.0212735142558813,12363,25.76471469783820,3.8554568955827800,0.2207120788788880,0.0043131276070145,0.4745588230328250,0.2455604970455170,0.0359374433755874,5559,21.120325882598700,3.241069563400880,0.2595095608318340,0.0045777355799943,0.870250889619303
20,1,1,0.1607083827257160,0.0297712236642837,45444,65.21274744529050,5.738822583451840,0.1963924040355000,0.0025088873726593,0.4452408008144760,0.2433636933565140,0.0288097448647022,43884,50.936527325371000,5.142674025817350,0.1970667164175550,0.0026921410239426,0.4815843395229660,0.3688570857048030,0.0499231331050396,18780,161.5826721618040,8.70487844732112,0.1294549625870760,0.0011554212160821,0.4939467506410530
21,1,1,0.0678377449512481,0.0340812653303146,24856,71.39460646323610,5.740794955523030,0.2151397459077600,0.0022602453798622,0.4543072243494750,0.1700918674468990,0.0307532418519258,25044,54.01915891788630,5.272466780908500,0.1905737287780500,0.0021580923724181,0.496243640236341,0.2878302335739140,0.051543366163969,10797,85.53435401109680,5.654332318217850,0.2036254257249290,0.00207417100984,0.7472159141757980
22,1,1,0.1836171448230740,0.0289083179086446,7912,15.318549252450100,2.9874812218327500,0.2679015131243650,0.004527086379316,0.8544944928248210,0.263102650642395,0.0251573827117681,9305,27.837561742254200,3.919286035024700,0.2212435358010890,0.0039636765406553,0.621137147349411,0.3610031306743620,0.0455366633832454,3744,47.7061028639976,4.773129404708350,0.2012867661822810,0.0031354522992975,0.8207514125653080
